distance_nm,wind_speed_kts,wind_direction_deg,aircraft_heading_deg,altitude_ft,headwind_kts,crosswind_kts,ground_speed_kts,fuel_kg,time_min,co2_kg
461.58,73.19,330.57,89.23,29000,-35.1,64.2,495.1,2313.7,55.9,7311.4
143.95,143.37,247.39,14.97,33000,-87.4,113.6,547.4,644.2,15.8,2035.5
95.67,33.71,264.48,347.17,29000,4.3,33.4,455.7,527.8,12.6,1667.7
590.95,25.67,114.35,244.91,37000,-16.7,19.5,476.7,3127.5,74.4,9882.8
189.24,4.23,218.89,143.82,37000,1.1,4.1,458.9,1046.4,24.7,3306.6
947.04,94.68,119.14,73.03,31000,65.6,68.2,394.4,6170.2,144.1,19497.8
577.97,120.7,194.76,198.05,29000,120.5,6.9,339.5,4441.9,102.1,14036.3
1313.4,78.61,315.99,13.04,35000,42.8,66.0,417.2,8070.3,188.9,25502.2
1998.8,106.17,247.14,147.68,35000,-17.4,104.7,477.4,10525.4,251.2,33260.3
1992.62,119.49,182.35,283.73,37000,-23.6,117.1,483.6,10371.9,247.2,32775.2
84.09,61.16,69.29,300.63,29000,-38.2,47.8,498.2,418.4,10.1,1322.3
1607.02,30.67,158.2,234.45,37000,7.3,29.8,452.7,9025.6,213.0,28521.0
356.14,148.6,40.01,218.03,29000,-148.5,5.1,608.5,1398.2,35.1,4418.2
2352.71,95.7,134.27,128.76,29000,95.3,9.2,364.7,16696.7,387.0,52761.6
768.99,130.85,131.38,257.97,35000,-78.0,105.1,538.0,3522.3,85.8,11130.6
95.89,42.71,195.33,221.29,37000,38.4,18.7,421.6,584.1,13.6,1845.9
451.84,145.47,154.11,48.05,39000,-40.3,139.8,500.3,2269.1,54.2,7170.3
164.25,71.68,311.9,89.88,33000,-53.2,48.0,513.2,792.9,19.2,2505.7
111.82,110.3,35.5,274.66,29000,-56.5,94.7,516.5,533.5,13.0,1685.8
1820.48,64.51,0.41,330.32,41000,55.8,32.3,404.2,11721.1,270.2,37038.6
952.92,32.77,7.52,53.85,35000,22.6,23.7,437.4,5549.7,130.7,17537.0
471.3,147.21,307.24,170.97,37000,-106.4,101.8,566.4,2037.5,49.9,6438.6
548.35,72.04,189.8,147.98,41000,53.7,48.0,406.3,3509.7,81.0,11090.6
437.51,1.71,114.1,317.78,39000,-1.6,0.7,461.6,2411.8,56.9,7621.2
459.6,14.61,127.18,1.33,33000,-8.6,11.8,468.6,2466.5,58.9,7794.0
199.81,132.17,304.03,98.97,29000,-119.7,56.0,579.7,831.5,20.7,2627.4
107.31,43.56,353.46,125.93,39000,-29.4,32.1,489.4,552.8,13.2,1746.9
81.09,7.36,325.06,299.15,41000,6.6,3.2,453.4,458.1,10.7,1447.7
173.42,139.14,12.86,26.07,29000,135.5,31.8,324.5,1400.7,32.1,4426.2
83.19,22.49,75.1,306.18,41000,-14.1,17.5,474.1,446.4,10.5,1410.6
153.73,9.89,247.83,37.06,41000,-8.5,5.1,468.5,836.3,19.7,2642.8
114.54,101.03,1.83,315.46,35000,69.7,73.1,390.3,758.9,17.6,2398.1
562.77,125.06,292.61,81.25,35000,-106.8,65.1,566.8,2423.2,59.6,7657.2
1431.5,37.15,162.1,309.67,31000,-31.4,19.9,491.4,7253.7,174.8,22921.7
158.93,123.49,70.07,276.97,29000,-110.1,55.9,570.1,674.7,16.7,2132.0
158.44,70.11,278.01,347.2,37000,24.9,65.5,435.1,931.2,21.8,2942.5
262.13,57.48,178.71,251.67,35000,16.8,55.0,443.2,1503.8,35.5,4752.1
104.63,130.62,348.53,12.25,31000,119.6,52.5,340.4,803.3,18.4,2538.4
1394.42,131.87,103.64,331.19,35000,-89.0,97.3,549.0,6235.8,152.4,19705.2
552.74,124.73,150.65,326.28,41000,-124.4,9.5,584.4,2319.4,56.8,7329.4
902.82,145.4,281.76,9.82,33000,4.9,145.3,455.1,5010.6,119.0,15833.4
1432.17,126.69,343.75,299.18,39000,90.2,88.9,369.8,10150.3,232.4,32075.0
1720.94,45.13,75.1,88.48,29000,43.9,10.4,416.1,10531.8,248.2,33280.5
705.8,149.27,201.75,51.6,35000,-129.5,74.3,589.5,2899.7,71.8,9163.2
991.55,57.51,326.55,207.17,33000,-28.2,50.1,488.2,5074.0,121.9,16033.9
761.64,89.94,321.82,133.4,29000,-89.0,13.2,549.0,3382.0,83.2,10687.2
293.54,64.56,264.17,221.34,37000,47.3,43.9,412.7,1832.2,42.7,5789.8
292.03,105.09,216.88,76.4,29000,-81.1,66.9,541.1,1319.1,32.4,4168.5
403.4,117.88,322.18,238.12,31000,12.2,117.2,447.8,2275.1,54.1,7189.3
998.72,117.79,338.04,132.59,39000,-106.4,50.6,566.4,4333.3,105.8,13693.1
918.53,72.9,55.38,146.89,41000,-1.9,72.9,461.9,5079.2,119.3,16050.2
1170.78,102.77,221.11,228.33,29000,102.0,12.9,358.0,8482.0,196.2,26803.1
482.34,71.93,346.29,89.5,33000,-16.4,70.0,476.4,2539.1,60.7,8023.4
111.77,32.66,170.43,148.24,29000,30.2,12.3,429.8,659.4,15.6,2083.7
1259.06,68.64,154.11,340.57,37000,-68.2,7.7,528.2,5911.9,143.0,18681.6
2218.2,84.28,99.54,6.96,33000,-3.8,84.2,463.8,12045.1,287.0,38062.6
282.45,101.21,54.25,308.33,29000,-27.8,97.3,487.8,1440.6,34.7,4552.4
151.83,10.0,40.1,267.72,39000,-6.7,7.4,466.7,826.3,19.5,2611.0
485.44,123.57,332.04,165.68,31000,-120.1,29.1,580.1,2022.6,50.2,6391.6
218.16,58.64,54.19,112.04,39000,31.2,49.6,428.8,1308.4,30.5,4134.4
1978.94,24.98,203.26,180.61,33000,23.1,9.6,436.9,11505.8,271.7,36358.4
766.12,116.25,185.64,163.34,39000,107.6,44.1,352.4,5727.6,130.4,18099.1
372.57,1.65,351.56,20.98,35000,1.4,0.8,458.6,2055.3,48.7,6494.9
144.33,76.04,344.3,122.4,29000,-56.6,50.8,516.6,688.4,16.8,2175.5
120.32,5.26,120.55,54.2,39000,2.1,4.8,457.9,669.4,15.8,2115.2
152.52,18.07,167.01,75.13,37000,-0.6,18.1,460.6,839.8,19.9,2653.7
314.25,118.45,238.22,185.1,33000,71.1,94.8,388.9,2084.6,48.5,6587.5
527.81,133.26,254.88,30.82,39000,-95.8,92.7,555.8,2342.2,57.0,7401.2
163.5,6.69,110.2,47.02,41000,3.0,6.0,457.0,915.3,21.5,2892.5
1385.15,33.1,259.99,345.53,35000,2.6,33.0,457.4,7663.2,181.7,24215.6
512.83,3.07,230.43,240.95,41000,3.0,0.6,457.0,2871.0,67.3,9072.3
899.59,128.93,35.53,126.07,33000,-1.2,128.9,461.2,4916.1,117.0,15534.9
1213.73,131.76,293.69,309.29,29000,126.9,35.4,333.1,9526.3,218.6,30103.0
91.75,65.52,61.95,336.28,33000,4.9,65.3,455.1,509.2,12.1,1609.1
289.2,37.96,208.45,40.57,33000,-37.1,8.0,497.1,1449.2,34.9,4579.4
1620.61,39.77,78.49,65.23,37000,38.7,9.1,421.3,9880.8,230.8,31223.4
378.54,83.71,147.91,309.08,39000,-79.2,27.0,539.2,1740.9,42.1,5501.2
109.44,72.5,79.83,275.7,41000,-69.7,19.8,529.7,516.0,12.4,1630.5
195.78,65.29,221.51,99.13,41000,-35.0,55.1,495.0,999.4,23.7,3158.0
1311.5,42.76,182.06,141.72,41000,32.6,27.7,427.4,7925.8,184.1,25045.4
86.65,144.87,9.15,311.08,31000,76.6,122.9,383.4,582.8,13.6,1841.6
559.67,118.5,120.09,98.09,35000,109.9,44.4,350.1,4186.7,95.9,13230.0
299.54,133.84,200.23,204.09,39000,133.5,9.0,326.5,2437.4,55.1,7702.3
2104.31,89.95,232.07,96.77,37000,-63.9,63.3,523.9,9975.3,241.0,31522.0
1401.84,19.87,194.64,245.96,31000,12.4,15.5,447.6,7910.5,187.9,24997.1
1705.75,121.25,147.13,35.43,39000,-44.8,112.7,504.8,8475.9,202.7,26783.9
86.59,12.93,213.67,232.28,37000,12.2,4.1,447.8,492.5,11.6,1556.3
264.94,79.45,334.2,116.54,31000,-62.9,48.5,522.9,1248.4,30.4,3945.0
1260.16,58.77,5.74,79.58,29000,16.3,56.4,443.7,7168.9,170.4,22653.8
1679.6,68.95,174.0,10.52,39000,-66.1,19.6,526.1,7951.9,191.6,25128.0
135.98,28.47,238.72,234.03,33000,28.4,2.3,431.6,801.7,18.9,2533.5
222.72,28.96,162.86,177.67,39000,28.0,7.4,432.0,1324.4,30.9,4185.0
1860.39,36.8,138.26,104.9,33000,30.7,20.2,429.3,11037.7,260.0,34879.1
125.56,50.09,332.81,220.84,35000,-18.7,46.5,478.7,659.1,15.7,2082.8
296.41,138.25,290.95,76.71,37000,-114.3,77.8,574.3,1260.4,31.0,3982.9
193.67,67.93,359.78,328.0,37000,57.7,35.8,402.3,1244.3,28.9,3931.9
630.0,128.42,50.39,64.3,35000,124.7,30.9,335.3,4943.5,112.7,15621.4
2389.84,78.69,308.93,305.88,35000,78.6,4.2,381.4,16248.7,375.9,51345.8
1281.23,116.59,332.87,200.46,39000,-78.6,86.1,538.6,5899.9,142.7,18643.7
144.75,94.71,266.89,27.57,39000,-48.3,81.4,508.3,713.5,17.1,2254.6
1721.42,105.72,10.48,225.08,31000,-87.0,60.0,547.0,7691.4,188.8,24304.7
116.76,29.68,25.01,297.54,31000,1.3,29.6,458.7,640.6,15.3,2024.3
1033.09,53.56,247.26,78.92,41000,-52.5,10.8,512.5,5064.3,121.0,16003.3
369.42,7.75,236.25,273.74,29000,6.1,4.7,453.9,2047.5,48.8,6470.3
2442.34,138.69,175.73,236.17,33000,68.4,120.6,391.6,16077.8,374.2,50805.9
820.92,20.92,67.62,225.79,31000,-19.4,7.8,479.4,4280.1,102.7,13525.1
106.1,133.27,289.83,287.38,33000,133.2,5.7,326.8,854.1,19.5,2698.8
126.08,110.03,46.77,63.71,35000,105.3,32.1,354.7,929.6,21.3,2937.4
117.65,18.99,341.6,74.52,31000,-1.0,19.0,461.0,641.8,15.3,2028.2
1219.59,125.22,272.35,278.78,35000,124.4,14.0,335.6,9562.6,218.1,30217.8
1515.32,88.86,253.88,225.92,29000,78.5,41.7,381.5,10226.7,238.3,32316.4
765.6,27.8,56.05,1.57,29000,16.2,22.6,443.8,4353.2,103.5,13756.1
274.23,147.26,289.92,182.2,41000,-44.8,140.3,504.8,1368.1,32.6,4323.3
455.76,145.98,78.32,54.31,35000,133.3,59.4,326.7,3681.4,83.7,11633.1
262.07,119.23,185.77,212.62,35000,106.4,53.8,353.6,1938.9,44.5,6127.1
2482.3,82.86,169.2,222.88,37000,49.1,66.8,410.9,15567.7,362.4,49194.0
840.84,34.09,135.96,231.59,33000,-3.3,33.9,463.3,4570.9,108.9,14444.0
239.94,24.81,253.25,329.57,31000,5.9,24.1,454.1,1331.6,31.7,4207.9
82.75,70.72,56.32,272.93,29000,-56.8,42.2,516.8,394.6,9.6,1246.8
1160.6,133.96,33.03,212.15,35000,-133.9,2.1,593.9,4725.1,117.2,14931.2
541.45,24.21,55.02,338.09,33000,5.5,23.6,454.5,3009.1,71.5,9508.8
180.71,3.11,348.32,132.81,33000,-2.5,1.8,462.5,984.4,23.4,3110.6
161.65,116.28,208.27,71.19,33000,-85.2,79.2,545.2,726.9,17.8,2297.1
187.32,70.05,161.9,24.44,31000,-51.6,47.4,511.6,905.5,22.0,2861.4
181.06,28.21,69.39,266.82,29000,-26.9,8.5,486.9,925.3,22.3,2924.1
2112.15,15.25,211.04,241.85,41000,13.1,7.8,446.9,12130.9,283.6,38333.6
1071.0,82.23,230.33,318.8,35000,2.2,82.2,457.8,5919.7,140.4,18706.3
110.54,33.15,184.04,356.28,33000,-32.8,4.5,492.8,559.5,13.5,1768.0
897.66,135.92,352.87,14.66,37000,126.2,50.5,333.8,7102.3,161.4,22443.3
984.81,42.79,213.98,12.06,35000,-39.7,16.0,499.7,4918.8,118.2,15543.3
795.47,22.38,180.87,218.11,31000,17.8,13.5,442.2,4551.6,107.9,14383.2
245.65,46.75,342.17,48.04,35000,19.1,42.7,440.9,1417.6,33.4,4479.7
2452.84,133.96,121.09,347.91,35000,-91.7,97.7,551.7,10906.1,266.8,34463.4
156.85,105.12,71.85,330.29,29000,-21.1,103.0,481.1,812.9,19.6,2568.9
182.11,102.36,81.92,318.77,39000,-56.0,85.7,516.0,882.1,21.2,2787.4
136.11,35.13,154.89,11.92,33000,-28.0,21.1,488.0,696.8,16.7,2201.8
144.93,14.56,209.22,341.5,29000,-9.8,10.8,469.8,772.0,18.5,2439.6
1536.45,86.29,173.36,245.64,31000,26.3,82.2,433.7,8987.4,212.5,28400.3
85.79,31.7,238.54,82.41,37000,-29.0,12.8,489.0,440.8,10.5,1393.1
91.82,107.26,320.06,338.23,33000,101.9,33.5,358.1,668.0,15.4,2111.0
109.87,38.69,203.15,356.18,31000,-34.5,17.5,494.5,552.6,13.3,1746.3
2282.15,32.09,35.73,189.0,39000,-28.7,14.4,488.7,11777.6,280.2,37217.2
1416.57,8.6,235.43,295.49,41000,4.3,7.4,455.7,7955.8,186.5,25140.4
2413.65,55.57,57.0,55.12,41000,55.5,1.8,404.5,15528.2,358.1,49069.1
228.57,11.06,156.35,31.33,37000,-6.3,9.1,466.3,1240.7,29.4,3920.5
1095.87,80.41,151.35,232.0,39000,13.1,79.3,446.9,6268.4,147.1,19808.1
1339.62,36.3,244.65,98.9,35000,-30.0,20.4,490.0,6845.2,164.0,21630.7
395.8,128.66,280.3,354.98,41000,34.0,124.1,426.0,2401.0,55.7,7587.1
681.29,133.95,81.75,145.57,35000,59.1,120.2,400.9,4379.7,102.0,13839.9
101.85,95.83,223.77,18.64,31000,-86.8,40.7,546.8,455.4,11.2,1438.9
411.84,21.47,255.4,183.12,41000,6.5,20.4,453.5,2326.1,54.5,7350.5
784.95,43.08,179.06,149.62,29000,37.5,21.2,422.5,4721.4,111.5,14919.7
1055.76,32.1,172.99,254.2,39000,4.9,31.7,455.1,5915.0,139.2,18691.5
427.82,49.1,165.7,182.35,31000,47.0,14.1,413.0,2646.0,62.2,8361.5
481.97,37.28,288.66,239.55,41000,24.4,28.2,435.6,2850.4,66.4,9007.1
2263.59,18.19,258.41,216.21,39000,13.5,12.2,446.5,12961.6,304.2,40958.7
89.61,45.19,15.26,304.98,37000,15.3,42.5,444.7,513.6,12.1,1623.0
291.54,122.55,198.19,292.14,33000,-8.4,122.3,468.4,1565.0,37.3,4945.5
227.98,42.89,115.16,161.21,33000,29.8,30.9,430.2,1349.1,31.8,4263.3
690.89,44.66,276.53,52.59,39000,-32.2,31.0,492.2,3536.1,84.2,11174.1
794.37,73.12,118.83,228.35,39000,-24.4,68.9,484.4,4141.1,98.4,13085.8
2368.09,45.45,27.41,324.76,29000,20.9,40.4,439.1,13631.0,323.6,43074.1
436.72,72.32,66.73,0.44,33000,29.1,66.2,430.9,2579.7,60.8,8152.0
1179.26,141.3,21.3,268.59,29000,-54.5,130.3,514.5,5651.4,137.5,17858.4
1112.72,11.7,45.09,229.77,37000,-11.7,1.0,471.7,5961.5,141.5,18838.2
534.72,95.71,183.41,75.94,31000,-28.7,91.3,488.7,2726.4,65.6,8615.5
332.29,9.05,56.38,260.85,39000,-8.2,3.7,468.2,1801.7,42.6,5693.4
123.75,51.05,348.03,218.19,37000,-32.7,39.2,492.7,630.3,15.1,1991.7
119.03,19.92,70.52,8.28,37000,9.3,17.6,450.7,671.9,15.8,2123.3
353.73,117.73,313.88,225.36,41000,3.0,117.7,457.0,1980.3,46.4,6257.8
1629.25,54.3,262.28,86.04,37000,-54.2,3.6,514.2,7895.4,190.1,24949.6
125.43,14.72,99.88,277.8,29000,-14.7,0.5,474.7,660.2,15.9,2086.1
262.96,55.76,108.61,175.68,37000,21.7,51.4,438.3,1532.6,36.0,4843.2
94.87,121.11,139.29,280.42,29000,-94.3,76.0,554.3,416.5,10.3,1316.0
796.93,78.2,87.32,140.83,33000,46.5,62.9,413.5,4933.4,115.6,15589.4
1183.77,1.17,168.65,350.82,33000,-1.2,0.0,461.2,6470.0,154.0,20445.1
132.95,49.52,73.27,355.88,31000,10.8,48.3,449.2,747.1,17.8,2361.0
96.73,92.87,339.0,195.94,33000,-74.2,55.8,534.2,445.5,10.9,1407.8
1512.46,129.15,150.7,304.95,31000,-116.3,56.1,576.3,6351.0,157.5,20069.3
1472.27,85.58,266.71,42.78,31000,-61.6,59.4,521.6,6957.2,169.3,21984.8
2080.9,128.85,159.98,63.39,29000,-14.8,128.0,474.8,10950.1,263.0,34602.2
171.61,134.19,288.66,4.09,41000,33.8,129.9,426.2,1040.3,24.2,3287.3
254.14,6.7,150.28,286.24,35000,-4.8,4.7,464.8,1380.3,32.8,4361.8
1456.87,118.13,46.08,130.91,41000,10.6,117.7,449.4,8315.0,194.5,26275.5
1480.33,23.09,341.24,18.11,37000,18.5,13.9,441.5,8555.7,201.2,27036.0
1643.84,13.39,310.66,2.28,37000,8.3,10.5,451.7,9256.4,218.4,29250.3
376.55,147.09,5.45,322.59,35000,107.8,100.0,352.2,2798.7,64.2,8843.8
122.3,111.12,31.44,52.98,39000,103.4,40.8,356.6,902.3,20.6,2851.4
119.58,10.84,212.82,114.82,37000,-1.5,10.7,461.5,656.9,15.5,2075.9
421.1,103.85,54.02,61.31,39000,103.0,13.2,357.0,3103.6,70.8,9807.5
1718.7,111.85,187.81,188.96,29000,111.8,2.2,348.2,12844.8,296.2,40589.5
134.68,99.25,82.37,218.67,41000,-71.8,68.6,531.8,632.2,15.2,1997.7
1488.37,133.44,70.11,25.02,31000,94.2,94.5,365.8,10550.0,244.1,33337.9
251.12,134.44,63.04,42.4,41000,125.8,47.4,334.2,1999.3,45.1,6317.8
212.39,140.94,88.84,52.21,39000,113.1,84.1,346.9,1616.1,36.7,5106.7
532.3,87.08,321.46,152.5,39000,-85.5,16.7,545.5,2415.0,58.6,7631.2
254.64,90.53,109.65,296.51,39000,-89.9,10.8,549.9,1144.3,27.8,3616.0
91.14,132.84,9.14,254.41,37000,-55.6,120.7,515.6,440.3,10.6,1391.2
895.97,104.61,156.2,138.11,33000,99.4,32.5,360.6,6469.2,149.1,20442.5
2445.46,3.74,330.41,240.24,37000,-0.0,3.7,460.0,13484.6,319.0,42611.4
1190.17,63.15,64.77,316.38,41000,-19.9,59.9,479.9,6297.1,148.8,19898.7
436.12,70.07,150.77,176.19,37000,63.3,30.1,396.7,2846.1,66.0,8993.5
382.6,98.63,358.4,319.68,37000,77.0,61.7,383.0,2597.2,59.9,8207.2
428.37,37.42,305.66,198.68,29000,-10.9,35.8,470.9,2275.5,54.6,7190.6
898.29,136.5,135.46,208.47,31000,39.9,130.5,420.1,5448.7,128.3,17217.9
711.45,106.62,108.55,298.47,39000,-105.0,18.4,565.0,3095.6,75.5,9782.0
1741.31,109.18,336.06,113.55,31000,-80.5,73.8,540.5,7891.7,193.3,24937.7
205.5,64.1,107.38,284.86,41000,-64.0,2.8,524.0,981.3,23.5,3101.0
1738.32,113.41,11.88,80.08,37000,42.1,105.3,417.9,10696.9,249.6,33802.1
120.19,145.37,53.37,22.25,39000,124.5,75.1,335.5,948.9,21.5,2998.4
241.72,108.25,87.72,298.18,35000,-93.3,54.9,553.3,1071.0,26.2,3384.3
101.16,36.78,138.58,263.08,35000,-20.8,30.3,480.8,528.4,12.6,1669.6
269.01,113.78,5.38,345.73,29000,107.1,38.3,352.9,1980.8,45.7,6259.5
1939.53,50.31,202.36,74.56,29000,-30.8,39.8,490.8,9820.6,237.1,31033.0
105.69,110.57,206.95,145.53,41000,52.9,97.1,407.1,675.0,15.6,2132.9
2315.92,38.88,26.55,33.28,29000,38.6,4.6,421.4,13971.3,329.8,44149.2
342.46,70.43,199.14,353.22,29000,-63.3,30.8,523.3,1608.9,39.3,5084.1
798.03,98.69,230.34,156.8,31000,28.0,94.6,432.0,4688.8,110.8,14816.5
1025.84,27.62,356.23,319.21,41000,22.0,16.6,438.0,6029.6,140.5,19053.5
130.77,92.26,267.5,51.0,39000,-74.2,54.9,534.2,608.2,14.7,1921.8
2468.2,133.88,58.74,337.06,29000,19.4,132.5,440.6,14151.3,336.1,44718.0
339.51,31.65,257.63,342.62,37000,2.8,31.5,457.2,1885.2,44.6,5957.2
757.42,105.9,87.45,295.85,33000,-93.2,50.4,553.2,3347.8,82.2,10579.1
654.48,65.04,224.55,45.75,29000,-65.0,1.4,525.0,3063.2,74.8,9679.6
2280.0,138.73,93.97,180.42,33000,8.6,138.5,451.4,12771.4,303.0,40357.7
388.17,74.96,349.23,86.16,37000,-9.0,74.4,469.0,2093.0,49.7,6613.9
144.88,143.1,248.77,76.0,33000,-142.0,18.0,602.0,578.8,14.4,1829.0
593.38,75.71,85.84,288.59,29000,-69.8,29.3,529.8,2747.7,67.2,8682.7
1165.53,105.72,241.06,0.51,35000,-52.0,92.1,512.0,5658.8,136.6,17881.7
330.55,60.33,16.41,272.44,39000,-14.6,58.6,474.6,1764.7,41.8,5576.5
1908.98,92.07,62.99,249.23,29000,-91.5,10.0,551.5,8430.2,207.7,26639.4
255.83,36.34,254.29,224.89,39000,31.7,17.8,428.3,1536.1,35.8,4854.1
490.44,90.87,347.42,68.74,37000,13.7,89.8,446.3,2800.0,65.9,8848.0
1623.14,149.83,104.61,152.27,37000,100.9,110.8,359.1,11843.0,271.2,37423.7
258.15,84.03,211.18,281.04,33000,28.9,78.9,431.1,1524.3,35.9,4816.7
666.03,95.69,43.3,266.01,33000,-70.3,64.9,530.3,3094.2,75.4,9777.7
1479.18,97.94,55.42,183.89,39000,-60.9,76.7,520.9,7084.9,170.4,22388.4
90.4,108.74,278.74,16.9,35000,-15.4,107.6,475.4,478.4,11.4,1511.7
677.66,15.12,35.29,129.09,33000,-1.0,15.1,461.0,3705.4,88.2,11709.0
84.81,131.89,260.49,79.04,35000,-131.9,3.3,591.9,346.8,8.6,1095.7
2150.37,67.13,324.74,22.34,31000,36.0,56.7,424.0,12906.4,304.3,40784.3
216.91,54.59,14.59,152.94,41000,-40.8,36.3,500.8,1092.3,26.0,3451.6
1863.67,67.95,256.69,318.6,41000,32.0,59.9,428.0,11244.7,261.3,35533.4
158.81,123.25,280.51,47.4,41000,-74.0,98.6,534.0,741.8,17.8,2344.1
706.49,67.03,114.67,149.69,37000,54.9,38.5,405.1,4502.9,104.6,14229.3
229.56,140.65,6.55,39.97,41000,117.4,77.5,342.6,1778.1,40.2,5618.7
747.43,124.4,29.62,314.23,41000,31.4,120.4,428.6,4502.2,104.6,14227.0
1160.24,108.68,70.14,57.65,33000,106.1,23.5,353.9,8553.0,196.7,27027.4
814.31,131.62,61.73,247.06,33000,-131.0,12.2,591.0,3325.6,82.7,10508.8
1613.33,132.49,88.04,262.35,37000,-131.8,13.1,591.8,6617.3,163.6,20910.8
